hint,difficulty,word
City,Easy,DOHA
City,Easy,DUBAI
City,Easy,MIAMI
City,Easy,OSAKA
City,Easy,OSLO
City,Easy,PARIS
City,Easy,PUNE
City,Easy,ROME
City,Easy,SEOUL
City,Easy,TOKYO
City,Medium,ATHENS
City,Medium,BEIJING
City,Medium,BERLIN
City,Medium,BOSTON
City,Medium,CHENNAI
City,Medium,CHICAGO
City,Medium,DALLAS
City,Medium,DENVER
City,Medium,DUBLIN
City,Medium,GENEVA
City,Medium,HELSINKI
City,Medium,HOUSTON
City,Medium,JAIPUR
City,Medium,KOLKATA
City,Medium,LISBON
City,Medium,LONDON
City,Medium,MADRID
City,Medium,MONTREAL
City,Medium,MUMBAI
City,Medium,PHOENIX
City,Medium,PRAGUE
City,Medium,SEATTLE
City,Medium,SHANGHAI
City,Medium,SYDNEY
City,Medium,TORONTO
City,Medium,VIENNA
City,Medium,WARSAW
City,Medium,ZURICH
City,Hard,BENGALURU
City,Hard,HYDERABAD
City,Hard,MELBOURNE
City,Hard,STOCKHOLM
Clothing,Easy,APRON
Clothing,Easy,BOOT
Clothing,Easy,CAP
Clothing,Easy,COAT
Clothing,Easy,DRESS
Clothing,Easy,GLOVE
Clothing,Easy,JEANS
Clothing,Easy,SCARF
Clothing,Easy,SHIRT
Clothing,Easy,SHOE
Clothing,Easy,SKIRT
Clothing,Easy,SOCK
Clothing,Easy,TIE
Clothing,Easy,VEST
Clothing,Medium,BLOUSE
Clothing,Medium,BRACELET
Clothing,Medium,JACKET
Clothing,Medium,NECKLACE
Clothing,Medium,PAJAMAS
Clothing,Medium,SANDAL
Clothing,Medium,SHORTS
Clothing,Medium,SWEATER
Clothing,Medium,TROUSER
Color,Easy,AMBER
Color,Easy,BEIGE
Color,Easy,BLACK
Color,Easy,BLUE
Color,Easy,BROWN
Color,Easy,CORAL
Color,Easy,CYAN
Color,Easy,GOLD
Color,Easy,GRAY
Color,Easy,GREEN
Color,Easy,IVORY
Color,Easy,JADE
Color,Easy,LILAC
Color,Easy,PINK
Color,Easy,RED
Color,Easy,TEAL
Color,Easy,WHITE
Color,Medium,BRONZE
Color,Medium,CRIMSON
Color,Medium,INDIGO
Color,Medium,LAVENDER
Color,Medium,MAROON
Color,Medium,PURPLE
Color,Medium,SILVER
Color,Medium,VIOLET
Color,Medium,YELLOW
Color,Hard,TURQUOISE
Country,Easy,BENIN
Country,Easy,CHAD
Country,Easy,CHILE
Country,Easy,CHINA
Country,Easy,CUBA
Country,Easy,EGYPT
Country,Easy,FIJI
Country,Easy,GABON
Country,Easy,GHANA
Country,Easy,INDIA
Country,Easy,IRAN
Country,Easy,IRAQ
Country,Easy,ITALY
Country,Easy,JAPAN
Country,Easy,KENYA
Country,Easy,LAOS
Country,Easy,LIBYA
Country,Easy,MALI
Country,Easy,MALTA
Country,Easy,NAURU
Country,Easy,NEPAL
Country,Easy,NIGER
Country,Easy,OMAN
Country,Easy,PERU
Country,Easy,QATAR
Country,Easy,SAMOA
Country,Easy,SPAIN
Country,Easy,SUDAN
Country,Easy,SYRIA
Country,Easy,TOGO
Country,Easy,TONGA
Country,Easy,YEMEN
Country,Medium,ALBANIA
Country,Medium,ALGERIA
Country,Medium,ANDORRA
Country,Medium,ANGOLA
Country,Medium,ARMENIA
Country,Medium,AUSTRIA
Country,Medium,BAHAMAS
Country,Medium,BAHRAIN
Country,Medium,BARBADOS
Country,Medium,BELARUS
Country,Medium,BELGIUM
Country,Medium,BELIZE
Country,Medium,BHUTAN
Country,Medium,BOLIVIA
Country,Medium,BOTSWANA
Country,Medium,BRAZIL
Country,Medium,BRUNEI
Country,Medium,BULGARIA
Country,Medium,CAMBODIA
Country,Medium,CAMEROON
Country,Medium,CANADA
Country,Medium,COLOMBIA
Country,Medium,COMOROS
Country,Medium,CROATIA
Country,Medium,CYPRUS
Country,Medium,DENMARK
Country,Medium,DJIBOUTI
Country,Medium,DOMINICA
Country,Medium,ECUADOR
Country,Medium,ERITREA
Country,Medium,ESTONIA
Country,Medium,ETHIOPIA
Country,Medium,FINLAND
Country,Medium,FRANCE
Country,Medium,GAMBIA
Country,Medium,GEORGIA
Country,Medium,GERMANY
Country,Medium,GREECE
Country,Medium,GRENADA
Country,Medium,HONDURAS
Country,Medium,HUNGARY
Country,Medium,ICELAND
Country,Medium,IRELAND
Country,Medium,ISRAEL
Country,Medium,JAMAICA
Country,Medium,JORDAN
Country,Medium,KIRIBATI
Country,Medium,KUWAIT
Country,Medium,LATVIA
Country,Medium,LEBANON
Country,Medium,LESOTHO
Country,Medium,LIBERIA
Country,Medium,MALAWI
Country,Medium,MALAYSIA
Country,Medium,MALDIVES
Country,Medium,MEXICO
Country,Medium,MOLDOVA
Country,Medium,MONACO
Country,Medium,MONGOLIA
Country,Medium,MOROCCO
Country,Medium,MYANMAR
Country,Medium,NAMIBIA
Country,Medium,NIGERIA
Country,Medium,NORWAY
Country,Medium,PAKISTAN
Country,Medium,PANAMA
Country,Medium,PARAGUAY
Country,Medium,POLAND
Country,Medium,PORTUGAL
Country,Medium,ROMANIA
Country,Medium,RWANDA
Country,Medium,SENEGAL
Country,Medium,SERBIA
Country,Medium,SLOVAKIA
Country,Medium,SLOVENIA
Country,Medium,SOMALIA
Country,Medium,SURINAME
Country,Medium,SWEDEN
Country,Medium,TAIWAN
Country,Medium,TANZANIA
Country,Medium,THAILAND
Country,Medium,TUNISIA
Country,Medium,TUVALU
Country,Medium,UGANDA
Country,Medium,UKRAINE
Country,Medium,URUGUAY
Country,Medium,VANUATU
Country,Medium,VIETNAM
Country,Medium,ZAMBIA
Country,Medium,ZIMBABWE
Country,Hard,AFGHANISTAN
Country,Hard,ARGENTINA
Country,Hard,AUSTRALIA
Country,Hard,BANGLADESH
Country,Hard,GUATEMALA
Country,Hard,GUYANAHAITI
Country,Hard,INDONESIA
Country,Hard,KAZAKHSTAN
Country,Hard,KYRGYZSTAN
Country,Hard,LIECHTENSTEIN
Country,Hard,LITHUANIA
Country,Hard,LUXEMBOURG
Country,Hard,MADAGASCAR
Country,Hard,MAURITANIA
Country,Hard,MAURITIUS
Country,Hard,MONTENEGRO
Country,Hard,MOZAMBIQUE
Country,Hard,NETHERLANDS
Country,Hard,NICARAGUA
Country,Hard,PHILIPPINES
Country,Hard,SEYCHELLES
Country,Hard,SINGAPORE
Country,Hard,SWITZERLAND
Country,Hard,TAJIKISTAN
Country,Hard,TURKMENISTAN
Country,Hard,UZBEKISTAN
Country,Hard,VENEZUELA
Drink,Easy,COCOA
Drink,Easy,MILK
Drink,Easy,SODA
Drink,Easy,TEA
Drink,Easy,WATER
Drink,Medium,COFFEE
Drink,Medium,LEMONADE
Drink,Medium,SMOOTHIE
Emotion,Easy,ANGER
Emotion,Easy,FEAR
Emotion,Easy,GRIEF
Emotion,Easy,JOY
Emotion,Easy,PRIDE
Emotion,Medium,ANXIETY
Emotion,Medium,BOREDOM
Emotion,Medium,COURAGE
Emotion,Medium,DELIGHT
Emotion,Medium,JEALOUSY
Emotion,Medium,KINDNESS
Emotion,Medium,SADNESS
Emotion,Medium,SURPRISE
Emotion,Medium,WONDER
Emotion,Hard,HAPPINESS
Emotion,Hard,LONELINESS
Food,Easy,BACON
Food,Easy,BAGEL
Food,Easy,PASTA
Food,Easy,PIZZA
Food,Easy,TACO
Food,Easy,TOAST
Food,Medium,BISCUIT
Food,Medium,BROWNIE
Food,Medium,BURGER
Food,Medium,BURRITO
Food,Medium,CEREAL
Food,Medium,CHEESE
Food,Medium,COOKIE
Food,Medium,CUPCAKE
Food,Medium,DOUGHNUT
Food,Medium,DUMPLING
Food,Medium,LASAGNA
Food,Medium,MACARONI
Food,Medium,MEATBALL
Food,Medium,OATMEAL
Food,Medium,PANCAKE
Food,Medium,PICKLE
Food,Medium,POPCORN
Food,Medium,PUDDING
Food,Medium,RAVIOLI
Food,Medium,RISOTTO
Food,Medium,SANDWICH
Food,Medium,SAUSAGE
Food,Medium,WAFFLE
Food,Medium,YOGURT
Food,Hard,CASSEROLE
Food,Hard,CHEESEBURGER
Food,Hard,CHEESECAKE
Food,Hard,CHOCOLATE
Food,Hard,CORNBREAD
Food,Hard,ENCHILADA
Food,Hard,QUESADILLA
Food,Hard,SPAGHETTI
Fruit,Easy,APPLE
Fruit,Easy,DATE
Fruit,Easy,FIG
Fruit,Easy,GRAPE
Fruit,Easy,GUAVA
Fruit,Easy,KIWI
Fruit,Easy,LEMON
Fruit,Easy,LIME
Fruit,Easy,MANGO
Fruit,Easy,MELON
Fruit,Easy,PEACH
Fruit,Easy,PEAR
Fruit,Easy,PLUM
Fruit,Medium,APRICOT
Fruit,Medium,AVOCADO
Fruit,Medium,BANANA
Fruit,Medium,CHERRY
Fruit,Medium,COCONUT
Fruit,Medium,ORANGE
Fruit,Medium,PAPAYA
Fruit,Hard,BLACKBERRY
Fruit,Hard,BLUEBERRY
Fruit,Hard,CRANBERRY
Fruit,Hard,GRAPEFRUIT
Fruit,Hard,NECTARINE
Fruit,Hard,PINEAPPLE
Fruit,Hard,POMEGRANATE
Fruit,Hard,RASPBERRY
Fruit,Hard,STRAWBERRY
Fruit,Hard,TANGERINE
Fruit,Hard,WATERMELON
General,Easy,ACORN
General,Easy,ALARM
General,Easy,ALLEY
General,Easy,APRIL
General,Easy,ARCH
General,Easy,ARENA
General,Easy,ARMY
General,Easy,ARROW
General,Easy,BABY
General,Easy,BALL
General,Easy,BAND
General,Easy,BAR
General,Easy,BLOOD
General,Easy,BOARD
General,Easy,BODY
General,Easy,BOX
General,Easy,CAMP
General,Easy,CANDY
General,Easy,CHAIN
General,Easy,CHILD
General,Easy,CITY
General,Easy,CLASS
General,Easy,COAST
General,Easy,COLOR
General,Easy,CROWD
General,Easy,CYCLE
General,Easy,DANCE
General,Easy,DAY
General,Easy,DESK
General,Easy,DOOR
General,Easy,EARTH
General,Easy,EAST
General,Easy,EDGE
General,Easy,EGG
General,Easy,EVENT
General,Easy,FIELD
General,Easy,FILM
General,Easy,FIRE
General,Easy,FOOD
General,Easy,GAME
General,Easy,GATE
General,Easy,GIFT
General,Easy,GIRL
General,Easy,GOAL
General,Easy,GRASS
General,Easy,GROUP
General,Easy,HABIT
General,Easy,HALL
General,Easy,HEAD
General,Easy,HEART
General,Easy,HOME
General,Easy,HOPE
General,Easy,HOTEL
General,Easy,HOUR
General,Easy,HOUSE
General,Easy,IDEA
General,Easy,IMAGE
General,Easy,JOB
General,Easy,JUDGE
General,Easy,LEAF
General,Easy,LIFE
General,Easy,LIGHT
General,Easy,LINE
General,Easy,LIST
General,Easy,MEAL
General,Easy,MONEY
General,Easy,MONTH
General,Easy,MOVIE
General,Easy,MUSIC
General,Easy,NAME
General,Easy,NIGHT
General,Easy,NORTH
General,Easy,ORDER
General,Easy,PAGE
General,Easy,PARTY
General,Easy,PHONE
General,Easy,PIECE
General,Easy,PLACE
General,Easy,PLANT
General,Easy,POINT
General,Easy,PRICE
General,Easy,RACE
General,Easy,RAIN
General,Easy,ROAD
General,Easy,ROCK
General,Easy,ROOM
General,Easy,SEAT
General,Easy,SHAPE
General,Easy,SHIP
General,Easy,SKY
General,Easy,SLEEP
General,Easy,SMILE
General,Easy,SNOW
General,Easy,SONG
General,Easy,SOUND
General,Easy,SOUTH
General,Easy,SPACE
General,Easy,SPORT
General,Easy,STORY
General,Easy,STUDY
General,Easy,SUN
General,Easy,TEAM
General,Easy,TEST
General,Easy,THING
General,Easy,TIME
General,Easy,TOOL
General,Easy,TOWN
General,Easy,TREE
General,Easy,TRIP
General,Easy,UNCLE
General,Easy,VOICE
General,Easy,WALL
General,Easy,WEEK
General,Easy,WOMAN
General,Easy,WORLD
General,Easy,YEAR
General,Medium,ABILITY
General,Medium,ABSENCE
General,Medium,ACADEMY
General,Medium,ACCOUNT
General,Medium,ACROBAT
General,Medium,ACTION
General,Medium,ADDITION
General,Medium,ADDRESS
General,Medium,AGENCY
General,Medium,ALCOHOL
General,Medium,ALPHABET
General,Medium,ANCESTOR
General,Medium,ANIMAL
General,Medium,AQUARIUM
General,Medium,ARGUMENT
General,Medium,ARRIVAL
General,Medium,ARTICLE
General,Medium,AVENUE
General,Medium,BALCONY
General,Medium,BEDROOM
General,Medium,BORDER
General,Medium,BRANCH
General,Medium,BROTHER
General,Medium,BUILDING
General,Medium,CABINET
General,Medium,CALENDAR
General,Medium,CAPTAIN
General,Medium,CENTURY
General,Medium,CEREMONY
General,Medium,CHAMPION
General,Medium,CHANCE
General,Medium,CHANNEL
General,Medium,CHAPTER
General,Medium,CHIMNEY
General,Medium,CIRCLE
General,Medium,CITIZEN
General,Medium,COLLEGE
General,Medium,COMPANY
General,Medium,CORNER
General,Medium,COSTUME
General,Medium,COUNTRY
General,Medium,COURSE
General,Medium,COUSIN
General,Medium,CREATURE
General,Medium,CULTURE
General,Medium,CUSTOMER
General,Medium,DAUGHTER
General,Medium,DAYLIGHT
General,Medium,DECISION
General,Medium,DEGREE
General,Medium,DESIGN
General,Medium,DINNER
General,Medium,DOORWAY
General,Medium,ELEVATOR
General,Medium,EMPLOYEE
General,Medium,EVENING
General,Medium,EXAMPLE
General,Medium,EXERCISE
General,Medium,FAMILY
General,Medium,FATHER
General,Medium,FESTIVAL
General,Medium,FLOWER
General,Medium,FRIEND
General,Medium,HOLIDAY
General,Medium,JOURNEY
General,Medium,KITCHEN
General,Medium,LANGUAGE
General,Medium,LOCATION
General,Medium,MACHINE
General,Medium,MAGAZINE
General,Medium,MANAGER
General,Medium,MASTER
General,Medium,MATTER
General,Medium,MEDICINE
General,Medium,MEETING
General,Medium,MIDDLE
General,Medium,MIDNIGHT
General,Medium,MINUTE
General,Medium,MORNING
General,Medium,MOTHER
General,Medium,NATION
General,Medium,NATURE
General,Medium,NUMBER
General,Medium,OCCASION
General,Medium,PACKAGE
General,Medium,PAINTING
General,Medium,PARENT
General,Medium,PENCIL
General,Medium,PEOPLE
General,Medium,PERIOD
General,Medium,PERSON
General,Medium,PICTURE
General,Medium,PLAYER
General,Medium,POLICE
General,Medium,POSITION
General,Medium,PRACTICE
General,Medium,PRESENT
General,Medium,PROBLEM
General,Medium,PRODUCT
General,Medium,PROGRAM
General,Medium,PROJECT
General,Medium,QUESTION
General,Medium,REASON
General,Medium,RECIPE
General,Medium,RECORD
General,Medium,REGION
General,Medium,RESULT
General,Medium,SCHEDULE
General,Medium,SEASON
General,Medium,SECRET
General,Medium,SENTENCE
General,Medium,SERVICE
General,Medium,SIDEWALK
General,Medium,SISTER
General,Medium,SOCIETY
General,Medium,SPRING
General,Medium,SQUARE
General,Medium,SUBJECT
General,Medium,SUMMER
General,Medium,SUNLIGHT
General,Medium,TEENAGER
General,Medium,THOUGHT
General,Medium,TRIANGLE
General,Medium,VACATION
General,Medium,VICTORY
General,Medium,WEATHER
General,Medium,WEEKEND
General,Hard,AFTERNOON
General,Hard,AMBULANCE
General,Hard,BREAKFAST
General,Hard,CONDITION
General,Hard,DIRECTION
General,Hard,EDUCATION
General,Hard,FIREPLACE
General,Hard,FURNITURE
General,Hard,GOVERNMENT
General,Hard,INVITATION
General,Hard,LANDSCAPE
General,Hard,OPERATION
General,Hard,PASSENGER
General,Hard,POPULATION
General,Hard,RELATIONSHIP
General,Hard,STAIRCASE
General,Hard,TECHNOLOGY
General,Hard,THUNDERSTORM
General,Hard,VEGETABLE
Instrument,Easy,BANJO
Instrument,Easy,BASS
Instrument,Easy,CELLO
Instrument,Easy,DRUM
Instrument,Easy,FLUTE
Instrument,Easy,HARP
Instrument,Easy,OBOE
Instrument,Easy,ORGAN
Instrument,Easy,PIANO
Instrument,Easy,TUBA
Instrument,Easy,VIOLA
Instrument,Medium,CLARINET
Instrument,Medium,CYMBAL
Instrument,Medium,GUITAR
Instrument,Medium,MANDOLIN
Instrument,Medium,RECORDER
Instrument,Medium,TROMBONE
Instrument,Medium,TRUMPET
Instrument,Medium,VIOLIN
Instrument,Hard,ACCORDION
Instrument,Hard,HARMONICA
Instrument,Hard,SAXOPHONE
Instrument,Hard,TAMBOURINE
Invention,Medium,ENGINE
Invention,Medium,PRINTING
Invention,Hard,MICROSCOPE
Invention,Hard,REFRIGERATOR
Invention,Hard,TELEPHONE
Invention,Hard,TELEVISION
Invention,Hard,THERMOMETER
Material,Easy,BRICK
Material,Easy,GLASS
Material,Easy,IRON
Material,Easy,METAL
Material,Easy,NYLON
Material,Easy,PAPER
Material,Easy,STEEL
Material,Easy,STONE
Material,Easy,WOOL
Material,Medium,ALUMINUM
Material,Medium,CERAMIC
Material,Medium,COPPER
Material,Medium,COTTON
Material,Medium,DIAMOND
Material,Medium,LEATHER
Material,Medium,MARBLE
Material,Medium,PLASTIC
Material,Medium,RUBBER
Material,Medium,TIMBER
Music,Easy,ALBUM
Music,Easy,LYRIC
Music,Easy,TEMPO
Music,Easy,VERSE
Music,Medium,CHORUS
Music,Medium,CONCERT
Music,Medium,HARMONY
Music,Medium,MELODY
Music,Medium,RHYTHM
Music,Medium,SYMPHONY
Music,Hard,ORCHESTRA
Nature,Easy,CLOUD
Nature,Easy,COMET
Nature,Easy,LAKE
Nature,Easy,OCEAN
Nature,Easy,RIVER
Nature,Medium,AUTUMN
Nature,Medium,BLOSSOM
Nature,Medium,BREEZE
Nature,Medium,CANYON
Nature,Medium,FOREST
Nature,Medium,GALAXY
Nature,Medium,GLACIER
Nature,Medium,ISLAND
Nature,Medium,JUNGLE
Nature,Medium,MEADOW
Nature,Medium,MOUNTAIN
Nature,Medium,RAINBOW
Nature,Medium,RAINDROP
Nature,Medium,SHADOW
Nature,Medium,SNOWFALL
Nature,Medium,SUNRISE
Nature,Medium,SUNSET
Nature,Medium,SUNSHINE
Nature,Medium,THUNDER
Nature,Medium,VALLEY
Nature,Medium,VOLCANO
Nature,Medium,WINTER
Nature,Hard,EARTHQUAKE
Nature,Hard,EVERGREEN
Nature,Hard,HURRICANE
Nature,Hard,LIGHTNING
Nature,Hard,MOONLIGHT
Nature,Hard,WATERFALL
Object,Easy,CHAIR
Object,Easy,CLOCK
Object,Easy,COMB
Object,Easy,FAN
Object,Easy,FORK
Object,Easy,KEY
Object,Easy,PLATE
Object,Easy,RADIO
Object,Easy,RULER
Object,Easy,TABLE
Object,Medium,ANCHOR
Object,Medium,BACKPACK
Object,Medium,BALLOON
Object,Medium,BASKET
Object,Medium,BLANKET
Object,Medium,BOTTLE
Object,Medium,BUCKET
Object,Medium,BUTTON
Object,Medium,CAMERA
Object,Medium,CANDLE
Object,Medium,CARPET
Object,Medium,COMPASS
Object,Medium,CURTAIN
Object,Medium,CUSHION
Object,Medium,DOORKNOB
Object,Medium,ENVELOPE
Object,Medium,ERASER
Object,Medium,HAMMER
Object,Medium,HELMET
Object,Medium,LADDER
Object,Medium,MIRROR
Object,Medium,NOTEBOOK
Object,Medium,PILLOW
Object,Medium,POCKET
Object,Medium,SCISSORS
Object,Medium,SUITCASE
Object,Medium,TICKET
Object,Medium,UMBRELLA
Object,Medium,WALLET
Object,Medium,WHISTLE
Object,Medium,WINDOW
Object,Hard,BOOKSHELF
Object,Hard,CALCULATOR
Object,Hard,CHANDELIER
Object,Hard,CLOTHESLINE
Object,Hard,DICTIONARY
Object,Hard,FLASHLIGHT
Object,Hard,HEADPHONES
Object,Hard,LAMPSHADE
Object,Hard,MICROPHONE
Object,Hard,NEWSPAPER
Object,Hard,PHOTOGRAPH
Object,Hard,TELESCOPE
Object,Hard,TOOTHBRUSH
Object,Hard,TYPEWRITER
Place,Easy,BANK
Place,Easy,BEACH
Place,Easy,CAVE
Place,Easy,PARK
Place,Easy,TOWER
Place,Medium,AIRPORT
Place,Medium,BAKERY
Place,Medium,BRIDGE
Place,Medium,CASTLE
Place,Medium,CHURCH
Place,Medium,CINEMA
Place,Medium,DESERT
Place,Medium,FACTORY
Place,Medium,GARDEN
Place,Medium,HARBOR
Place,Medium,HOSPITAL
Place,Medium,LIBRARY
Place,Medium,MARKET
Place,Medium,MUSEUM
Place,Medium,PALACE
Place,Medium,PRISON
Place,Medium,SCHOOL
Place,Medium,STADIUM
Place,Medium,STATION
Place,Medium,THEATER
Place,Medium,THEATRE
Place,Medium,VILLAGE
Place,Hard,BOOKSTORE
Place,Hard,CAMPGROUND
Place,Hard,CLASSROOM
Place,Hard,GREENHOUSE
Place,Hard,LIGHTHOUSE
Place,Hard,MARKETPLACE
Place,Hard,PLAYGROUND
Place,Hard,RESTAURANT
Place,Hard,SUPERMARKET
Place,Hard,UNIVERSITY
Profession,Easy,ACTOR
Profession,Easy,BAKER
Profession,Easy,CHEF
Profession,Easy,CLERK
Profession,Easy,COACH
Profession,Easy,NURSE
Profession,Easy,PILOT
Profession,Easy,POET
Profession,Medium,ARTIST
Profession,Medium,BARBER
Profession,Medium,BUILDER
Profession,Medium,CASHIER
Profession,Medium,DENTIST
Profession,Medium,DESIGNER
Profession,Medium,DOCTOR
Profession,Medium,DRIVER
Profession,Medium,ENGINEER
Profession,Medium,FARMER
Profession,Medium,FLORIST
Profession,Medium,GARDENER
Profession,Medium,LAWYER
Profession,Medium,MECHANIC
Profession,Medium,MUSICIAN
Profession,Medium,PAINTER
Profession,Medium,PLUMBER
Profession,Medium,REPORTER
Profession,Medium,SAILOR
Profession,Medium,SCULPTOR
Profession,Medium,SINGER
Profession,Medium,TAILOR
Profession,Medium,TEACHER
Profession,Medium,WRITER
Profession,Hard,ARCHITECT
Profession,Hard,CARPENTER
Profession,Hard,ELECTRICIAN
Profession,Hard,FIREFIGHTER
Profession,Hard,GEOLOGIST
Profession,Hard,HISTORIAN
Profession,Hard,JOURNALIST
Profession,Hard,LIBRARIAN
Profession,Hard,MATHEMATICIAN
Profession,Hard,PHOTOGRAPHER
Profession,Hard,PROFESSOR
Profession,Hard,PROGRAMMER
Profession,Hard,PSYCHOLOGIST
Profession,Hard,SCIENTIST
Profession,Hard,TRANSLATOR
Profession,Hard,VETERINARIAN
School,Medium,ALGEBRA
School,Medium,GEOMETRY
School,Medium,GRAMMAR
School,Medium,HISTORY
School,Medium,HOMEWORK
School,Medium,LESSON
School,Medium,PHYSICS
School,Medium,SEMESTER
School,Medium,STUDENT
School,Medium,TEXTBOOK
School,Hard,ASSIGNMENT
School,Hard,CHEMISTRY
School,Hard,EXAMINATION
School,Hard,EXPERIMENT
School,Hard,GEOGRAPHY
School,Hard,LITERATURE
School,Hard,MATHEMATICS
School,Hard,PRINCIPAL
School,Hard,VOCABULARY
School,Hard,WORKSHEET
Science,Easy,ATOM
Science,Easy,CELL
Science,Medium,BATTERY
Science,Medium,BIOLOGY
Science,Medium,CARBON
Science,Medium,CHEMICAL
Science,Medium,CIRCUIT
Science,Medium,CLIMATE
